player_id,Player,Rank,Year Drafted,Age,Team,MP RS,OWS RS,DWS RS,WS RS,WS/48 RS,season_year,MP PO,OWS PO,DWS PO,WS PO,WS/48 PO,Impact,Year Started,franchise_id,teams_played_for,salary,allocated_salary,MP_Total,MP_RS_Cost,MP_TOT_Cost,WS_RS_Cost,WS_TOT_Cost,Impact_Cost,Rookie Contract Year
adrieje01,Jeff Adrien,0,0,26,Charlotte Bobcats,713,0.5,0.4,1.0,0.064,2013,0.0,0.0,0.0,0.0,0.0,1.0,2011,3,1,804131.0,804131.0,713.0,1127.8134642356242,1127.8134642356242,804131.0,804131.0,804131.0,2014
adrieje01,Jeff Adrien,0,0,27,Charlotte Bobcats,256,0.4,0.5,0.9,0.17,2014,0.0,0.0,0.0,0.0,0.0,0.9,2011,3,2,916099.0,610732.6666666666,256.0,2385.6744791666665,2385.6744791666665,678591.8518518518,678591.8518518518,678591.8518518518,2015
adrieje01,Jeff Adrien,0,0,27,Milwaukee Bucks,705,1.2,0.6,1.8,0.121,2014,0.0,0.0,0.0,0.0,0.0,1.8,2011,17,2,916099.0,305366.3333333333,705.0,433.14373522458624,433.14373522458624,169647.96296296295,169647.96296296295,169647.96296296295,2015
adrieje01,Jeff Adrien,0,0,28,Minnesota Timberwolves,215,0.2,0.2,0.4,0.087,2015,0.0,0.0,0.0,0.0,0.0,0.4,2011,18,1,981084.0,981084.0,215.0,4563.181395348837,4563.181395348837,2452710.0,2452710.0,2452710.0,2016
afflaar01,Arron Afflalo,27,2007,22,Detroit Pistons,970,0.5,1.4,1.9,0.092,2008,84.0,0.0,0.1,0.0,0.028,1.9,2008,9,1,944520.0,944520.0,1054.0,973.7319587628866,896.1290322580645,497115.7894736842,497115.7894736842,497115.7894736842,2
afflaar01,Arron Afflalo,27,2007,23,Detroit Pistons,1234,0.8,1.0,1.8,0.069,2009,66.0,0.0,0.0,0.0,-0.016,1.8,2008,9,1,1015440.0,1015440.0,1300.0,822.8849270664506,781.1076923076923,564133.3333333334,564133.3333333334,564133.3333333334,3
afflaar01,Arron Afflalo,27,2007,24,Denver Nuggets,2221,2.8,1.4,4.3,0.092,2010,120.0,0.4,0.0,0.4,0.153,5.9,2008,8,1,1086240.0,1086240.0,2341.0,489.0769923457902,464.0068346860316,252613.9534883721,231114.89361702127,184108.47457627117,4
afflaar01,Arron Afflalo,27,2007,25,Denver Nuggets,2324,4.8,1.4,6.2,0.128,2011,85.0,-0.1,0.0,-0.1,-0.03,5.8,2008,8,1,1959577.0,1959577.0,2409.0,843.1914802065404,813.4400166044002,316060.8064516129,321242.13114754093,337858.1034482759,5
afflaar01,Arron Afflalo,27,2007,26,Denver Nuggets,2086,4.7,0.6,5.3,0.121,2012,229.0,0.2,0.0,0.2,0.042,6.1,2008,8,1,7562500.0,7562500.0,2315.0,3625.35953978907,3266.7386609071273,1426886.7924528301,1375000.0,1239754.0983606558,6
afflaar01,Arron Afflalo,27,2007,27,Orlando Magic,2307,1.5,0.5,2.0,0.042,2013,0.0,0.0,0.0,0.0,0.0,2.0,2008,22,1,7750000.0,7750000.0,2307.0,3359.3411356740357,3359.3411356740357,3875000.0,3875000.0,3875000.0,7
