franchise_id,season_year,home_games,home_wins,home_attendance_total,avg_home_attendance,away_games,away_wins,away_attendance_total,avg_away_attendance,total_games,total_wins,Pct,total_attendance,attendance_avg,Team_Revenue,Ticket_Price,Operating_Income,LAFR,LAFA
6,2015,41,31,843042,20562.0,41,22,775537,18915.536585365855,82,53.0,0.6463414634146342,1618579,19738.768292682926,191.0,37.9,25.0,0.03687258687258687,0.037285742054342035
6,2016,41,33,843042,20562.0,41,24,775317,18910.170731707316,82,57.0,0.6951219512195121,1618359,19736.085365853658,233.0,40.5,-40.0,0.03972042277531538,0.037202858625854
6,2017,41,31,822480,20562.0,41,20,779880,19021.463414634145,82,51.0,0.6219512195121951,1602360,19540.975609756097,280.0,48.1,-6.0,0.038002171552660155,0.03632870374398812
6,2018,41,29,843042,20562.0,41,21,781477,19060.414634146342,82,50.0,0.6097560975609756,1624519,19811.20731707317,302.0,50.6,-13.0,0.03771699762707631,0.03697799313717376
6,2019,41,13,793337,19349.682926829268,41,6,722921,17632.219512195123,82,19.0,0.23170731707317074,1516258,18490.951219512193,300.0,67.4,39.0,0.03425048521520722,0.03507139279498405
6,2020,36,11,643008,17861.333333333332,29,8,529374,18254.275862068964,65,19.0,0.2923076923076923,1172382,18036.646153846155,269.0,46.8,46.0,0.033981808994441635,0.03615859468417913
6,2021,36,13,81156,3381.5,36,9,41431,2959.3571428571427,72,22.0,0.3055555555555556,122587,1702.5972222222222,211.0,3.81,11.0,0.03293787074617546,0.054154941748538125
7,2011,41,29,824162,20101.51219512195,41,28,686552,16745.170731707316,82,57.0,0.6951219512195121,1510714,18423.341463414636,166.0,42.9,-4.0,0.04191919191919192,0.03761525966542691
7,2012,33,23,671050,20334.848484848484,33,13,584524,17712.848484848484,66,36.0,0.5454545454545454,1255574,19023.848484848484,137.0,32.9,13.0,0.037309368191721135,0.03812855798594848
7,2013,41,24,821490,20036.341463414636,41,17,722151,17613.439024390245,82,41.0,0.5,1543641,18824.89024390244,162.0,42.7,38.0,0.03555750658472344,0.03753575821395423
7,2014,41,26,817982,19950.780487804877,41,23,708018,17268.731707317074,82,49.0,0.5975609756097561,1526000,18609.756097560974,168.0,42.5,30.0,0.03508771929824561,0.037040517104242686
7,2015,41,27,827702,20187.853658536584,41,23,723792,17653.463414634145,82,50.0,0.6097560975609756,1551494,18920.658536585364,177.0,43.0,24.0,0.03416988416988417,0.03660729034836107
7,2016,41,23,825901,20143.926829268294,41,19,726812,17727.121951219513,82,42.0,0.5121951219512195,1552713,18935.524390243903,194.0,43.0,43.0,0.033071939993181046,0.0364464381868892
7,2017,41,21,811366,19789.414634146342,41,12,718291,17519.29268292683,82,33.0,0.4024390243902439,1529657,18654.353658536584,233.0,42.2,21.0,0.03162323561346363,0.035837801578086595
7,2018,41,15,811453,19791.536585365855,41,9,712566,17379.658536585364,82,24.0,0.2926829268292683,1524019,18585.59756097561,287.0,43.0,99.0,0.035843636817784436,0.03559241824860334
7,2019,41,24,820569,20013.878048780487,41,9,741033,18073.975609756097,82,33.0,0.4024390243902439,1561602,19043.926829268294,307.0,57.4,105.0,0.03504966320356205,0.036275249628326005
7,2020,38,20,682096,20061.647058823528,37,23,602239,18249.666666666668,75,43.0,0.5733333333333334,1284335,17124.466666666667,295.0,55.3,84.0,0.03726629610914604,0.038356649994556596
7,2021,36,21,94849,3648.0384615384614,36,21,33993,2428.0714285714284,72,42.0,0.5833333333333334,128842,1789.4722222222222,231.0,2.82,55.0,0.036059943802684985,0.06329220353278985
8,2011,41,33,696568,16989.463414634145,41,17,708687,17285.048780487807,82,50.0,0.6097560975609756,1405255,17137.256097560974,113.0,32.6,-1.0,0.028535353535353535,0.031791791170458106
8,2012,33,20,561966,17029.272727272728,33,18,568546,17228.666666666668,66,38.0,0.5757575757575758,1130512,17128.969696969696,110.0,26.4,12.0,0.029956427015250545,0.03193048687449747
8,2013,41,38,730616,17819.90243902439,41,19,711476,17353.073170731706,82,57.0,0.6951219512195121,1442092,17586.48780487805,124.0,37.3,8.0,0.027216856892010536,0.03338351717397216
8,2014,41,22,692898,16899.951219512193,41,14,705675,17211.585365853658,82,36.0,0.43902439024390244,1398573,17055.768292682926,136.0,34.6,14.0,0.028404344193817876,0.03137636307460989
8,2015,41,19,602707,14700.170731707318,41,11,714593,17429.09756097561,82,30.0,0.36585365853658536,1317300,16064.634146341463,140.0,30.1,26.0,0.02702702702702703,0.02665629676379863
8,2016,41,18,577898,14095.073170731708,41,15,727810,17751.463414634145,82,33.0,0.4024390243902439,1305708,15923.268292682927,157.0,28.3,21.0,0.026764405046027957,0.025502237841250823
8,2017,41,22,605585,14770.365853658537,41,18,714236,17420.39024390244,82,40.0,0.4878048780487805,1319821,16095.378048780487,202.0,29.7,49.0,0.027415852334419108,0.026748514318649746
8,2018,41,31,702796,17141.365853658535,41,15,732712,17871.024390243903,82,46.0,0.5609756097560976,1435508,17506.19512195122,222.0,36.6,47.0,0.02772573997751967,0.030826442413110104
8,2019,41,34,756457,18450.170731707316,41,20,716467,17474.80487804878,82,54.0,0.6585365853658537,1472924,17962.48780487805,252.0,41.6,52.0,0.028770407580774062,0.033441022641721295
8,2020,37,26,633153,19186.454545454544,36,20,549221,17163.15625,73,46.0,0.6301369863013698,1182374,16196.90410958904,218.0,36.7,27.0,0.027539161192521474,0.035604413475527626
8,2021,36,25,54563,3897.3571428571427,36,22,42184,2636.5,72,47.0,0.6527777777777778,96747,1343.7083333333333,185.0,0.64,15.0,0.02887917577271308,0.03640958261404561
9,2011,41,21,683080,16660.48780487805,41,9,686024,16732.29268292683,82,30.0,0.36585365853658536,1369104,16696.39024390244,141.0,28.0,10.0,0.035606060606060606,0.031176190569645067
9,2012,33,18,475638,14413.272727272728,33,7,539318,16342.969696969696,66,25.0,0.3787878787878788,1014956,15378.121212121212,125.0,19.5,8.0,0.03404139433551198,0.027025394625319374
9,2013,41,18,606094,14782.780487804877,41,11,692318,16885.80487804878,82,29.0,0.35365853658536583,1298412,15834.292682926829,139.0,24.2,10.0,0.030509218612818263,0.02769382200504982
9,2014,41,17,616005,15024.512195121952,41,12,708505,17280.60975609756,82,29.0,0.35365853658536583,1324510,16152.560975609756,144.0,24.6,18.0,0.03007518796992481,0.027894432565507575
9,2015,41,18,625917,15266.268292682927,41,14,732519,17866.317073170732,82,32.0,0.3902439024390244,1358436,16566.29268292683,154.0,24.4,16.0,0.02972972972972973,0.027682819846968007
9,2016,41,26,677138,16515.560975609755,41,18,730383,17814.219512195123,82,44.0,0.5365853658536586,1407521,17164.89024390244,172.0,21.7,22.0,0.029321513808387316,0.029881630196589883
9,2017,41,24,655141,15979.048780487805,41,13,725680,17699.51219512195,82,37.0,0.45121951219512196,1380821,16839.280487804877,221.0,45.2,22.0,0.02999457111834962,0.028937388507368104
9,2018,41,25,713945,17413.29268292683,41,14,736330,17959.268292682926,82,39.0,0.47560975609756095,1450275,17686.280487804877,235.0,35.7,52.0,0.029349319345572625,0.031315466264218765
