Show Name,Season,Href,Google Docs
the amazing race,season 34,https://tvseriesfinale.com/tv-show/the-amazing-race-season-34-ratings/,https://docs.google.com/spreadsheets/d/1_sakYamJH4LVbbDwVcQ-b6tvhOWWTnOVbh4nIqrMlVM/pubhtml/sheet?headers=false&gid=1493798392&range=A1%3Ah100
the amazing race,season 35,https://tvseriesfinale.com/tv-show/the-amazing-race-season-35-ratings/,https://docs.google.com/spreadsheets/d/1Ii2QZoWwUROqd4TnVe05t4fNPdqfeER4kQIpqwyDIs4/pubhtml/sheet?headers=false&gid=1607725180&range=A1%3Ah100
the amazing race,season 36,https://tvseriesfinale.com/tv-show/the-amazing-race-season-36-ratings/,https://docs.google.com/spreadsheets/d/1Ii2QZoWwUROqd4TnVe05t4fNPdqfeER4kQIpqwyDIs4/pubhtml/sheet?headers=false&gid=1907723752&range=A1%3Ah100
ambitions,season one,https://tvseriesfinale.com/tv-show/ambitions-season-one-ratings/,https://docs.google.com/spreadsheets/d/1Ew4e9wBK4P_eX68Vqc7EDEwaUJZDWr7OTJyGvD8Y5Jc/pubhtml/sheet?headers=false&gid=1505297900&range=A1%3AH52&output=html&rm=minimal
americas funniest home videos,season 28,https://tvseriesfinale.com/tv-show/americas-funniest-home-videos-season-28-ratings/,https://docs.google.com/spreadsheets/d/e/2PACX-1vTlE5lTHpAmKbEOIFMoMB5xW95pIvYxFgcblbWzKL4ZDLRBAVL3Bt3WtXzA65dzsHZXuOrwhIXlQOfq/pubhtml/sheet?headers=false&gid=555607338&range=A1%3Ah100
americas funniest home videos,season 29,https://tvseriesfinale.com/tv-show/americas-funniest-home-videos-season-29-ratings/,https://docs.google.com/spreadsheets/d/1Z54g0izrymDxV0QDkwOGE9auYHrCu-FTYNpPDykzPJ8/pubhtml/sheet?headers=false&gid=555607338&range=A1%3Ah100
americas funniest home videos,season 30,https://tvseriesfinale.com/tv-show/americas-funniest-home-videos-season-30-ratings/,https://docs.google.com/spreadsheets/d/e/2PACX-1vTrXdDjlQ_DsAe7hNjPK48UpmMYmbZE2_I1S3x0frJJbOh448s7NI2vSBYNr_z6DgMwoksah-NZBkKB/pubhtml/sheet?headers=false&gid=27775445&range=A1%3Ah100
americas funniest home videos,season 31,https://tvseriesfinale.com/tv-show/americas-funniest-home-videos-season-31-ratings/,https://docs.google.com/spreadsheets/d/1NS9t3Pv-5_wq_fCkMbQDlf0scWZ_TYTsLp38Z8jaw_M/pubhtml/sheet?headers=false&gid=27775445&range=A1%3Ah100
americas funniest home videos,season 32,https://tvseriesfinale.com/tv-show/americas-funniest-home-videos-season-32-ratings/,https://docs.google.com/spreadsheets/d/1UHVhAstyDVbA_72wuwSMX7TAPuO4Z_5sX1xbcmNjr2s/pubhtml/sheet?headers=false&gid=1204126661&range=A1%3Ah100
americas funniest home videos,season 34,https://tvseriesfinale.com/tv-show/americas-funniest-home-videos-season-34-ratings/,https://docs.google.com/spreadsheets/d/15KTevMXvt9KrUmg0EAioSoNjNmhfRebf0-72WnZYlK8/pubhtml/sheet?headers=false&gid=1223772288&range=A1%3Ah100
americas got talent,season 13,https://tvseriesfinale.com/tv-show/americas-got-talent-season-13-ratings/,https://docs.google.com/spreadsheets/d/e/2PACX-1vSbDlv8pGgTvsiGGgnQ0icBwo7pLFDRo4Jd9SNGQp2UVAXALuO-q0ukrsBaa2PvdfaDG7yK8Z-15Ldp/pubhtml/sheet?headers=false&gid=913149100&range=A1%3Ag100
americas got talent,season 14,https://tvseriesfinale.com/tv-show/americas-got-talent-season-14-ratings/,https://docs.google.com/spreadsheets/d/1xFhCp0TeNw3qt7L-sjT6GVG1Fq3rxa3v6tGV_EhW0Bc/pubhtml/sheet?headers=false&gid=1831529220&range=A1%3Ag100
americas got talent,season 15,https://tvseriesfinale.com/tv-show/americas-got-talent-season-15-ratings/,https://docs.google.com/spreadsheets/d/e/2PACX-1vRtVj2UE-OnOA12xp1fNuzjlRH3leED-mA5SsVYu5siarlfm8OVy5EHBpyoUlI9ICBIQzZ2hnLviUro/pubhtml/sheet?headers=false&gid=400062299&range=A1%3Ah100
