county_fips,state_po,x,n,y,population_group
32001,NV,2011,18204,-82,small
32003,NV,2011,1559033,5931,enormous
32005,NV,2011,38693,170,small
32007,NV,2011,40989,258,small
32009,NV,2011,549,14,tiny
32011,NV,2011,1347,1,tiny
32013,NV,2011,13725,65,small
32015,NV,2011,4691,-14,tiny
32017,NV,2011,3363,14,tiny
32019,NV,2011,37590,90,small
32021,NV,2011,3143,-6,tiny
32023,NV,2011,28632,50,small
32027,NV,2011,3597,0,tiny
32029,NV,2011,2589,7,tiny
32031,NV,2011,331752,550,large
32033,NV,2011,6724,1,tiny
32510,NV,2011,40206,-33,small
33001,NH,2011,50462,79,medium
33003,NH,2011,38652,80,small
33005,NH,2011,59145,-51,medium
33007,NH,2011,24283,-86,small
33009,NH,2011,66261,146,medium
33011,NH,2011,333782,-495,large
33013,NH,2011,118053,15,large
33015,NH,2011,258705,659,large
33017,NH,2011,91370,80,medium
33019,NH,2011,33243,133,small
37001,NC,2011,117958,-140,large
37003,NC,2011,27658,-54,small
37005,NC,2011,8144,-5,tiny
37007,NC,2011,17289,-14,small
37009,NC,2011,19370,18,small
37011,NC,2011,11324,55,small
37013,NC,2011,35767,-80,small
37015,NC,2011,14161,-77,small
37017,NC,2011,23414,-60,small
37019,NC,2011,80114,633,medium
37021,NC,2011,184224,896,large
37023,NC,2011,67014,-238,medium
37025,NC,2011,146972,1184,large
37027,NC,2011,60282,81,medium
37029,NC,2011,7814,-10,tiny
37031,NC,2011,50970,308,medium
37033,NC,2011,16326,-44,small
37035,NC,2011,124253,76,large
37037,NC,2011,51340,344,medium
37039,NC,2011,18551,51,small
37041,NC,2011,11129,47,small
37043,NC,2011,7240,-22,tiny
37045,NC,2011,72598,-5,medium
37047,NC,2011,39175,-91,small
37049,NC,2011,76891,-481,medium
37051,NC,2011,229590,-889,large
37053,NC,2011,18024,50,small
37055,NC,2011,27946,36,small
37057,NC,2011,126042,179,large
37059,NC,2011,33197,94,small
37061,NC,2011,48892,-79,small
37063,NC,2011,210581,408,large
37065,NC,2011,40308,-49,small
37067,NC,2011,276093,331,large
37069,NC,2011,42527,213,small
37071,NC,2011,157879,237,large
37073,NC,2011,8302,-41,tiny
37075,NC,2011,6043,20,tiny
37077,NC,2011,41707,234,small
37079,NC,2011,13717,-121,small
37081,NC,2011,377299,419,large
37083,NC,2011,38348,-62,small
37085,NC,2011,82195,559,medium
37087,NC,2011,43047,118,small
37089,NC,2011,84288,347,medium
37091,NC,2011,14831,2,small
37093,NC,2011,33335,164,small
37095,NC,2011,3524,28,tiny
37097,NC,2011,130343,452,large
37099,NC,2011,22731,176,small
37101,NC,2011,135866,691,large
37103,NC,2011,6990,65,tiny
37105,NC,2011,44623,2162,small
37107,NC,2011,43620,-101,small
37109,NC,2011,59703,283,medium
37111,NC,2011,32970,-1,small
37113,NC,2011,25307,27,small
37115,NC,2011,14045,-83,small
37117,NC,2011,18013,22,small
37119,NC,2011,743312,4620,very large
37121,NC,2011,10790,14,small
37123,NC,2011,20179,55,small
37125,NC,2011,69886,254,medium
37127,NC,2011,75167,-302,medium
37129,NC,2011,145062,572,large
37131,NC,2011,14186,-81,small
37133,NC,2011,122493,-736,large
37135,NC,2011,96278,-202,medium
37137,NC,2011,9096,-43,tiny
37139,NC,2011,28736,-45,small
37141,NC,2011,37899,161,small
37143,NC,2011,9826,38,tiny
37145,NC,2011,29492,40,small
37147,NC,2011,115066,-88,large
37149,NC,2011,13737,73,small
37151,NC,2011,112391,200,large
37153,NC,2011,33494,-45,small
37155,NC,2011,94652,89,medium
37157,NC,2011,70731,-116,medium
37159,NC,2011,105362,135,large
37161,NC,2011,45890,-229,small
37163,NC,2011,53064,270,medium
37165,NC,2011,25228,-454,small
37167,NC,2011,45452,-51,small
37169,NC,2011,34785,-1,small
37171,NC,2011,56225,-176,medium
37173,NC,2011,12369,-184,small
37175,NC,2011,22489,74,small
37177,NC,2011,2868,28,tiny
37179,NC,2011,171483,1007,large
37181,NC,2011,32854,-48,small
37183,NC,2011,769274,2631,very large
37185,NC,2011,13164,-97,small
37187,NC,2011,9377,-66,tiny
37189,NC,2011,28115,-99,small
37191,NC,2011,90015,69,medium
37193,NC,2011,49890,-1,small
37195,NC,2011,62720,27,medium
37197,NC,2011,29333,-25,small
37199,NC,2011,12782,-2,small
39001,OH,2011,20634,129,small
39003,OH,2011,80765,-225,medium
39005,OH,2011,40951,12,small
39007,OH,2011,77612,-156,medium
39009,OH,2011,33757,-191,small
39011,OH,2011,39216,-29,small
39013,OH,2011,51450,-64,medium
39015,OH,2011,33449,-55,small
39017,OH,2011,290827,-368,large
39019,OH,2011,22029,-77,small
39021,OH,2011,31167,-16,small
39023,OH,2011,107845,13,large
39025,OH,2011,161114,34,large
39027,OH,2011,32651,-3,small
39029,OH,2011,81760,-196,medium
39031,OH,2011,28261,4,small
39033,OH,2011,34028,-19,small
39035,OH,2011,982812,-3109,very large
39037,OH,2011,43914,-46,small
39039,OH,2011,32191,69,small
39041,OH,2011,153634,1150,large
39043,OH,2011,62057,-48,medium
39045,OH,2011,116531,50,large
39047,OH,2011,21673,-20,small
39049,OH,2011,929605,-665,very large
39051,OH,2011,36268,-31,small
39053,OH,2011,22218,-30,small
39055,OH,2011,81921,374,medium
